lsoa11cd,rank,decile
W01000915,930,5
W01000916,1099,6
W01000917,1305,7
W01000918,1206,7
W01000919,807,5
W01000920,398,3
W01000921,38,1
W01000922,422,3
W01000923,1182,7
W01000924,338,2
W01000925,331,2
W01000926,978,6
W01000927,773,5
W01000928,662,4
W01000929,411,3
W01000930,210,2
W01000931,617,4
W01000932,500,3
W01000933,1487,8
W01000934,82,1
W01000935,109,1
W01000936,221,2
W01000937,278,2
W01000938,1416,8
W01000939,49,1
W01000940,261,2
W01000941,328,2
W01000942,199,2
W01000943,1711,9
W01000944,508,3
W01000945,593,4
W01000946,744,4
W01000947,589,4
W01000948,761,4
W01000949,979,6
W01000950,609,4
W01000951,281,2
W01000952,607,4
W01000953,571,3
W01000954,1023,6
W01000955,1333,7
W01000956,1646,9
W01000957,132,1
W01000958,76,1
W01000959,1092,6
W01000960,348,2
W01000961,307,2
W01000962,55,1
W01000963,124,1
W01000964,115,1
W01000965,522,3
W01000966,523,3
W01000967,182,1
W01000968,751,4
W01000969,1672,9
W01000970,722,4
W01000971,872,5
W01000973,372,2
W01000974,1174,7
W01000975,143,1
W01000976,346,2
W01000977,392,3
W01000978,527,3
W01000979,1332,7
W01000980,934,5
W01000981,60,1
W01000982,1302,7
W01000983,1639,9
W01000984,1507,8
W01000985,1785,10
W01000986,1135,6
W01000987,581,4
W01000989,1683,9
W01000990,408,3
W01000991,5,1
W01000992,46,1
W01000993,194,2
W01000994,232,2
W01000995,632,4
W01000996,816,5
W01000997,1216,7
W01000998,1412,8
W01000999,518,3
W01001000,1335,7
W01001001,723,4
W01001002,272,2
W01001003,1459,8
W01001004,555,3
W01001005,1504,8
W01001006,1709,9
W01001007,822,5
W01001008,1728,10
W01001009,606,4
W01001010,489,3
W01001011,1428,8
W01001012,1367,8
W01001013,721,4
W01001014,380,2
W01001015,322,2
W01001016,988,6
W01001017,1150,7
W01001018,334,2
W01001019,287,2
W01001020,427,3
W01001021,397,3
W01001022,118,1
W01001023,299,2
W01001024,336,2
W01001025,655,4
W01001026,517,3
W01001027,1354,8
W01001028,1226,7
W01001029,1603,9
W01001030,1433,8
W01001031,1767,10
W01001032,1669,9
W01001033,912,5
W01001034,401,3
W01001035,326,2
W01001036,1734,10
W01001037,1635,9
W01001038,924,5
W01001039,1439,8
W01001040,1312,7
W01001041,1721,10
W01001042,526,3
W01001043,406,3
W01001044,671,4
W01001045,510,3
W01001046,524,3
W01001047,1364,8
W01001048,1529,9
W01001049,267,2
W01001050,479,3
W01001051,771,5
W01001052,466,3
W01001053,1706,9
W01001054,1779,10
W01001055,188,1
W01001056,949,5
W01001057,431,3
W01001058,1381,8
W01001059,1642,9
W01001060,1844,10
W01001061,801,5
W01001062,1419,8
W01001063,690,4
W01001064,186,1
W01001065,814,5
W01001066,733,4
W01001067,195,2
W01001068,925,5
W01001069,265,2
W01001070,266,2
W01001071,548,3
W01001072,1770,10
W01001073,216,2
W01001075,1759,10
W01001076,1189,7
W01001077,1202,7
W01001078,1671,9
W01001079,388,3
W01001080,442,3
W01001081,142,1
W01001082,1768,10
W01001083,1726,10
W01001084,1786,10
W01001085,1708,9
W01001086,1832,10
W01001087,1735,10
W01001088,874,5
W01001089,1724,10
W01001090,1695,9
W01001091,1740,10
W01001092,878,5
W01001093,476,3
W01001094,291,2
W01001095,105,1
W01001096,785,5
W01001097,253,2
W01001098,1799,10
W01001099,699,4
W01001100,1795,10
W01001101,803,5
W01001102,1151,7
W01001103,1863,10
W01001104,1543,9
W01001105,1575,9
W01001106,1822,10
W01001107,1655,9
W01001108,1429,8
W01001109,1363,8
W01001110,1686,9
W01001111,815,5
W01001112,1873,10
W01001113,1600,9
W01001114,1899,10
W01001115,1715,9
W01001116,1857,10
W01001117,1553,9
W01001118,1493,8
W01001119,1503,8
W01001120,1787,10
W01001121,863,5
W01001122,1569,9
W01001123,1684,9
W01001124,1420,8
W01001125,1643,9
W01001126,1571,9
W01001127,1650,9
W01001128,1705,9
W01001129,993,6
W01001130,1843,10
W01001131,850,5
W01001132,1835,10
W01001133,1868,10
W01001134,1727,10
W01001135,1644,9
W01001136,1692,9
W01001137,444,3
W01001138,243,2
W01001139,841,5
W01001140,413,3
W01001141,288,2
W01001142,245,2
W01001143,992,6
W01001144,33,1
W01001145,506,3
W01001146,1069,6
W01001147,923,5
W01001148,586,4
W01001149,736,4
W01001150,273,2
W01001151,1366,8
W01001152,1166,7
W01001153,432,3
W01001154,451,3
W01001155,576,4
W01001156,1886,10
W01001157,1460,8
W01001158,658,4
W01001159,1753,10
W01001160,1602,9
W01001161,1371,8
W01001162,501,3
W01001164,813,5
W01001165,737,4
W01001166,191,1
W01001167,551,3
W01001168,695,4
W01001169,220,2
W01001170,1537,9
W01001171,742,4
W01001172,853,5
W01001173,96,1
W01001174,83,1
W01001175,680,4
W01001176,652,4
W01001177,471,3
W01001178,823,5
W01001179,175,1
W01001180,51,1
W01001181,463,3
W01001182,642,4
W01001183,268,2
W01001184,1130,6
W01001185,390,3
W01001186,996,6
W01001187,691,4
W01001188,176,1
W01001189,657,4
W01001190,1609,9
W01001191,1649,9
W01001192,257,2
W01001193,1744,10
W01001194,1812,10
W01001195,1139,6
W01001196,1736,10
W01001197,1879,10
W01001198,1712,9
W01001199,1670,9
W01001200,534,3
W01001201,159,1
W01001202,120,1
W01001203,52,1
W01001204,1015,6
W01001205,468,3
W01001206,474,3
W01001207,136,1
W01001208,359,2
W01001209,6,1
W01001210,275,2
W01001211,429,3
W01001212,356,2
W01001213,579,4
W01001214,1451,8
W01001215,141,1
W01001216,493,3
W01001217,262,2
W01001218,698,4
W01001219,110,1
W01001220,730,4
W01001221,101,1
W01001222,15,1
W01001223,1755,10
W01001224,1904,10
W01001225,1884,10
W01001226,1171,7
W01001227,1485,8
W01001228,994,6
W01001229,752,4
W01001230,1280,7
W01001231,415,3
W01001232,539,3
W01001233,707,4
W01001234,709,4
W01001235,480,3
W01001236,1297,7
W01001237,209,2
W01001238,26,1
W01001239,145,1
W01001240,1308,7
W01001241,1129,6
W01001242,1497,8
W01001243,438,3
W01001244,1518,8
W01001245,1651,9
W01001246,1193,7
W01001247,481,3
W01001248,611,4
W01001249,637,4
W01001250,805,5
W01001251,87,1
W01001252,1641,9
W01001253,577,4
W01001255,185,1
W01001256,682,4
W01001257,1423,8
W01001258,541,3
W01001259,554,3
W01001260,100,1
W01001261,306,2
W01001262,604,4
W01001263,839,5
W01001264,937,5
W01001265,487,3
W01001266,114,1
W01001267,248,2
W01001268,286,2
W01001269,869,5
W01001270,745,4
W01001271,410,3
W01001272,560,3
W01001273,860,5
W01001274,4,1
W01001275,198,2
W01001276,107,1
W01001277,1625,9
W01001278,668,4
W01001279,149,1
W01001280,121,1
W01001281,791,5
W01001282,344,2
W01001283,705,4
W01001284,1620,9
W01001285,639,4
W01001286,598,4
W01001287,403,3
W01001288,131,1
W01001289,483,3
W01001290,601,4
W01001291,1080,6
W01001292,65,1
W01001293,567,3
W01001294,1746,10
W01001295,127,1
W01001296,935,5
W01001297,629,4
W01001298,352,2
W01001299,56,1
W01001300,106,1
W01001301,164,1
W01001302,385,3
W01001303,34,1
W01001304,967,6
W01001305,731,4
W01001306,1128,6
W01001307,153,1
W01001308,7,1
W01001309,258,2
W01001310,1012,6
W01001311,688,4
W01001312,428,3
W01001313,596,4
W01001314,706,4
W01001315,337,2
W01001316,1343,8
W01001317,457,3
W01001318,948,5
W01001319,1662,9
W01001320,777,5
W01001321,585,4
W01001322,552,3
W01001324,1051,6
W01001325,349,2
W01001326,177,1
W01001327,1032,6
W01001328,718,4
W01001329,720,4
W01001330,713,4
W01001331,633,4
W01001332,340,2
W01001333,358,2
W01001334,213,2
W01001335,710,4
W01001336,538,3
W01001337,704,4
W01001338,456,3
W01001339,29,1
W01001340,1652,9
W01001341,293,2
W01001342,1665,9
W01001343,1638,9
W01001344,1054,6
W01001345,43,1
W01001346,826,5
W01001347,1009,6
W01001348,394,3
W01001349,1731,10
W01001350,945,5
W01001351,1682,9
W01001352,367,2
W01001353,420,3
W01001354,1275,7
W01001355,654,4
W01001356,1448,8
W01001357,1558,9
W01001358,251,2
W01001359,929,5
W01001360,832,5
W01001361,137,1
W01001362,482,3
W01001363,619,4
W01001364,123,1
W01001365,677,4
W01001366,1138,6
W01001367,987,6
W01001368,453,3
W01001369,1101,6
W01001370,1075,6
W01001371,237,2
W01001372,1169,7
W01001373,926,5
W01001374,391,3
W01001375,228,2
W01001376,67,1
W01001377,1134,6
W01001378,544,3
W01001379,1390,8
W01001380,1242,7
W01001381,214,2
W01001382,1110,6
W01001383,798,5
W01001384,578,4
W01001385,246,2
W01001386,59,1
W01001387,472,3
W01001388,405,3
W01001389,918,5
W01001390,1733,10
W01001391,947,5
W01001392,1519,8
W01001393,407,3
W01001394,1833,10
W01001395,536,3
W01001396,242,2
W01001397,1374,8
W01001398,1675,9
W01001399,1340,8
W01001400,90,1
W01001401,664,4
W01001402,423,3
W01001403,1007,6
W01001404,1713,9
W01001405,715,4
W01001406,315,2
W01001407,1225,7
W01001408,447,3
W01001409,1387,8
W01001410,566,3
W01001411,844,5
W01001412,922,5
W01001413,635,4
W01001414,280,2
W01001415,729,4
W01001416,1008,6
W01001417,1565,9
W01001418,325,2
W01001419,1172,7
W01001420,1496,8
W01001421,3,1
W01001422,113,1
W01001423,1552,9
W01001424,739,4
W01001425,1393,8
W01001426,1697,9
W01001427,1878,10
W01001428,8,1
W01001429,473,3
W01001430,887,5
W01001431,1083,6
W01001432,1292,7
W01001433,659,4
W01001434,1576,9
W01001435,497,3
W01001436,274,2
W01001437,963,6
W01001438,597,4
W01001439,1176,7
W01001440,595,4
W01001441,235,2
W01001442,1462,8
W01001443,303,2
W01001444,495,3
W01001445,716,4
W01001446,942,5
W01001447,282,2
W01001448,565,3
W01001449,537,3
W01001450,687,4
W01001451,312,2
W01001452,1156,7
W01001453,160,1
W01001454,387,3
W01001455,520,3
W01001456,365,2
W01001457,86,1
W01001458,951,5
W01001459,130,1
W01001460,532,3
W01001461,440,3
W01001462,825,5
W01001463,1183,7
W01001464,215,2
W01001465,239,2
W01001466,250,2
W01001467,249,2
W01001468,376,2
W01001469,138,1
W01001470,1103,6
W01001471,211,2
W01001472,1089,6
W01001473,53,1
W01001474,437,3
W01001475,799,5
W01001476,227,2
W01001477,757,4
W01001478,867,5
W01001479,35,1
W01001480,217,2
W01001481,203,2
W01001482,311,2
W01001483,197,2
W01001484,1048,6
W01001485,285,2
W01001486,837,5
W01001487,626,4
W01001488,252,2
W01001489,462,3
W01001490,898,5
W01001491,375,2
W01001492,1238,7
W01001493,795,5
W01001494,1551,9
W01001495,1376,8
W01001496,208,2
W01001497,511,3
W01001498,371,2
W01001499,1306,7
W01001500,1743,10
W01001501,264,2
W01001502,1597,9
W01001503,271,2
W01001504,970,6
W01001505,1383,8
W01001506,206,2
W01001507,1282,7
W01001508,1534,9
W01001509,1821,10
